CUSTOMER_ID,CUSTOMER_AGE,REGION_DENSITY
POL048930,40,16206
POL051903,40,34738
POL042823,35,7788
POL057713,37,27003
POL028898,51,4076
POL020582,47,27742
POL045739,63,8794
POL018509,44,4990
POL010348,45,4076
POL046732,35,35036
POL035255,39,35036
POL029145,44,27003
POL050945,46,13051
POL057522,64,8794
POL031648,44,290
POL002851,59,8794
POL048178,44,8794
POL039863,43,27003
POL044885,43,34738
POL047287,45,34738
POL010329,44,8794
POL015561,50,34791
POL036256,35,8794
POL032154,46,73430
POL011376,42,73430
POL028407,53,34791
POL028192,43,6112
POL042186,39,4076
POL010117,37,17804
POL040286,48,27003
POL009024,45,4076
POL039696,41,17804
POL009327,39,27003
POL045304,38,4076
POL025163,54,4076
POL025987,44,4076
POL054865,36,27003
POL047763,60,73430
POL033907,50,8794
POL015898,44,27003
POL012956,54,17804
POL048575,50,27003
POL029743,52,6108
POL040443,45,4076
POL034346,58,34738
POL005568,40,4076
POL021930,52,8794
POL013249,48,16733
POL030007,40,8794
POL058303,63,7788
POL000273,39,34791
POL033295,40,34791
POL038258,39,4076
POL004553,39,290
POL037692,44,34738
POL008957,39,73430
POL004142,36,17804
POL051047,41,34738
POL010586,36,5410
POL001142,35,27003
POL001703,36,20905
POL006441,40,5410
POL029197,45,8794
POL001010,43,34738
POL005407,38,4076
POL028131,48,27742
POL028999,35,6112
POL050407,55,27003
POL035399,53,34791
POL034507,41,6112
POL003953,39,13051
POL008453,43,34738
POL018599,48,8794
POL057118,52,17804
POL019732,35,8794
POL023002,45,34791
POL029032,58,8794
POL008972,54,7788
POL011504,39,4076
POL037909,37,8794
POL053487,40,27742
POL036778,54,6108
POL004253,48,65567
POL023415,41,6108
POL050480,36,8794
POL036802,43,34738
POL005904,44,27003
POL039312,64,290
POL013828,39,6112
POL003371,44,6108
POL038088,35,290
POL001499,49,8794
POL002731,45,34738
POL051019,49,4076
POL049867,43,73430
POL001200,41,5410
POL030028,54,65567
POL048134,47,4076
POL049468,56,8794
POL051146,37,27003
POL052414,62,6108
POL052071,41,5410
POL021973,49,4076
POL023554,35,34738
POL034025,48,8794
POL005162,56,5410
POL007383,36,6112
POL055255,41,5410
POL027477,40,8794
POL040452,44,7788
POL001511,45,6108
POL009920,48,8794
POL019709,57,290
POL017351,42,21622
POL009484,43,34738
POL006320,41,6112
POL053166,39,27003
POL040171,54,7788
POL017053,50,8794
POL005199,57,17804
POL038795,41,27003
POL016576,37,17804
POL043015,50,4990
POL008269,45,8794
POL043882,40,5410
POL039622,40,34738
POL013907,60,8794
POL017914,54,5410
POL023547,40,27003
POL017444,45,8794
POL014658,49,8794
POL056688,36,16206
POL033969,56,6108
POL031639,43,4076
POL033904,48,34738
POL045914,65,8794
POL002695,43,4076
POL032185,58,65567
POL001314,47,27742
POL011568,41,290
POL009105,37,7788
POL054512,53,34738
POL012512,35,8794
POL055204,39,5410
POL039318,43,5410
POL046044,36,27003
POL000510,50,7788
POL026292,40,73430
POL052344,48,4076
POL008324,57,7788
POL048625,39,65567
POL049539,43,27003
POL002984,43,34738
POL039963,47,7788
POL018231,39,4990
POL006236,39,6112
POL041601,40,34738
POL000218,47,27003
POL033247,53,7788
POL006214,36,8794
POL019014,53,5410
POL007463,41,27003
POL052318,64,4076
POL047003,47,27003
POL054231,37,4076
POL008893,48,8794
POL054071,37,27003
POL035662,41,34791
POL017364,42,73430
POL029097,45,8794
POL052894,40,8794
POL054397,41,27003
POL017343,49,8794
POL036610,40,34738
POL026818,47,27003
POL006248,39,17804
POL048416,36,27003
POL031962,36,8794
POL047305,60,4076
POL007028,45,34738
POL009062,40,27742
POL030300,50,4076
POL027221,37,7788
POL014929,40,4076
POL024289,44,4076
POL037533,39,4990
POL049262,48,34791
POL038552,35,27003
POL037901,39,8794
POL053194,53,16206
POL028259,45,4076
POL010005,35,13051
POL042012,46,34738
POL057357,56,8794
POL025453,56,27003
POL027378,41,8794
POL049607,50,6112
POL056618,54,73430
POL049624,42,3264
POL042149,51,34738
POL015775,41,73430
POL051956,44,4076
POL023083,56,34738
POL007873,43,13051
POL048254,43,34738
POL004461,42,8794
POL048241,60,8794
POL025369,35,8794
POL042389,52,73430
POL000185,40,8794
POL055436,42,8794
POL008482,49,17804
POL024064,40,8794
POL018645,45,16206
POL056654,35,8794
POL010974,45,27003
POL027890,40,73430
POL039038,45,6112
POL045030,38,34738
POL019169,48,17804
POL056034,48,8794
POL006927,64,17804
POL010420,52,34738
POL051775,35,16733
POL031537,46,27003
POL029498,41,73430
POL018815,50,6112
POL057767,56,5410
POL016696,55,8794
POL031980,44,27003
POL054455,60,34791
POL015099,52,34738
POL002450,40,8794
POL034860,35,6112
POL023535,43,27742
POL046137,44,34791
POL042698,38,73430
POL054490,37,6112
POL017056,48,65567
POL056633,43,4076
POL008847,35,6112
POL005596,45,34791
POL056268,45,73430
POL003737,52,8794
POL011263,41,8794
POL044669,44,34738
POL030016,42,8794
POL001448,40,3264
POL013342,53,34738
POL050605,35,8794
POL015738,39,34738
POL033824,41,8794
POL034013,39,8794
POL014927,36,73430
POL004108,45,27003
POL051829,59,4076
POL004355,62,34738
POL027590,45,16206
POL027330,43,8794
POL003413,36,4076
POL029886,42,6112
POL040488,45,34738
POL012269,35,8794
POL027466,50,34738
POL004371,38,27003
POL013983,37,8794
POL024570,41,27003
POL012584,35,5410
POL019664,47,8794
POL025592,48,8794
POL040381,44,8794
POL016419,35,8794
POL019726,52,35036
POL000115,40,8794
POL028702,36,13051
POL024676,43,27003
POL026532,40,8794
POL056918,40,6108
POL042031,36,27003
POL038763,43,8794
POL000332,45,27003
POL035144,39,6112
POL043067,39,34738
POL031830,50,4076
POL020519,49,34738
POL012838,48,34738
POL025449,48,8794
POL052378,57,34738
POL049440,41,5410
POL044789,39,4990
POL029095,49,34738
POL050638,38,27003
POL035691,66,6112
POL031779,41,34738
POL023754,50,34738
POL033191,47,27003
POL048712,45,8794
POL005553,43,27003
POL008468,45,34738
POL033079,37,73430
POL026553,45,34791
POL003765,47,34738
POL016184,49,6108
POL018693,45,8794
POL037658,48,34738
POL030181,36,27003
POL058534,42,5410
POL023314,40,6112
POL016328,52,7788
POL053190,47,4076
POL022554,37,8794
POL006588,36,73430
POL047325,50,27003
POL022121,50,6112
POL018544,45,8794
POL014043,40,4076
POL036619,39,27003
POL057867,39,34738
POL017728,47,27003
POL044735,58,5410
POL009222,57,8794
POL006340,45,8794
POL000554,40,4076
POL052466,52,17804
POL032263,47,3264
POL035320,40,17804
POL057891,48,34738
POL033356,45,8794
POL032681,35,17804
POL011620,47,6112
POL052189,53,5410
POL035816,36,65567
POL033360,48,6112
POL035118,56,8794
POL042116,51,34791
POL002472,56,4076
POL016945,56,27003
POL038925,53,290
POL052959,35,7788
POL052031,48,34738
POL020169,45,4076
POL036783,39,34738
POL051303,42,8794
POL019101,40,4076
POL034876,56,27742
POL031739,51,27003
POL037008,40,34738
POL023427,35,6108
POL039320,46,4076
POL031785,35,27003
POL044536,35,17804
POL009912,48,73430
POL015494,49,8794
POL031188,41,27742
POL026696,36,27003
POL002502,56,34738
POL054844,47,5410
POL000531,36,8794
POL001072,45,290
POL031307,51,5410
POL031995,41,8794
POL049205,54,34738
POL057438,39,73430
POL008462,45,8794
POL058389,43,8794
POL010729,40,4076
POL049051,55,6108
POL052073,59,34738
POL055597,40,73430
POL033900,36,6112
POL040406,43,27003
POL034343,49,73430
POL047726,39,8794
POL044073,44,17804
POL004165,45,65567
POL055521,50,8794
POL038656,39,6108
POL053071,50,27003
POL012165,48,7788
POL012306,40,8794
POL020110,50,4076
POL039371,51,5410
POL055328,48,8794
POL053218,42,27003
POL025255,38,17804
POL041511,50,17804
POL009922,40,5410
POL026566,40,8794
POL010024,39,73430
POL024922,45,27003
POL050096,45,8794
POL007808,40,73430
POL054982,53,7788
POL057128,53,5410
POL028978,44,8794
POL036657,46,27003
POL018216,47,7788
POL018637,40,7788
POL042200,41,6112
POL052326,63,8794
POL053357,43,34738
POL034044,51,4076
POL015191,64,73430
POL020776,44,7788
POL032739,52,34791
POL012032,42,73430
POL054405,40,8794
POL012290,42,6112
POL043607,35,8794
POL020943,49,8794
POL019252,40,8794
POL001841,54,27003
POL042432,56,5410
POL033361,49,27003
POL013787,39,5410
POL037238,36,4076
POL054588,37,5410
POL011769,39,4076
POL020096,42,5410
POL001900,42,16733
POL007820,40,8794
POL042926,36,27003
POL048518,38,35036
POL033532,44,65567
POL011700,39,8794
POL024814,43,34738
POL001128,54,21622
POL017070,53,7788
POL058147,47,8794
POL033054,52,34738
POL055258,37,8794
POL035856,57,8794
POL018419,50,8794
POL027174,52,34738
POL056481,40,34738
POL045735,57,21622
POL021786,54,8794
POL000993,43,73430
POL011650,36,34738
POL010890,40,8794
POL045177,51,35036
POL012170,51,73430
POL044806,40,8794
POL007852,40,8794
POL021693,36,8794
POL000822,37,8794
POL041192,39,5410
POL017741,41,34738
POL040898,35,27003
POL026036,36,290
POL038824,41,4076
POL046584,48,65567
POL052135,37,34738
POL029461,54,8794
POL038009,47,8794
POL035116,48,8794
POL028383,40,73430
POL011535,60,27003
POL003474,47,34738
POL030988,37,34738
POL046328,50,4076
POL012551,50,6112
POL036617,49,27003
POL019517,53,27003
POL030609,45,7788
POL019545,39,7788
POL048485,40,5410
POL032192,47,8794
POL057925,52,73430
POL006291,48,73430
POL005241,38,5410
POL047596,45,4076
POL052264,37,27003
POL012303,61,17804
POL028219,37,7788
POL034295,39,27003
POL023685,40,8794
POL030544,40,73430
POL057557,53,8794
POL042743,41,73430
POL023145,53,8794
POL047972,39,34738
POL041759,50,27003
POL050343,68,4076
POL020683,39,8794
POL056551,47,27003
POL022405,51,27003
POL056921,43,5410
POL014984,36,5410
POL044750,46,5410
POL010459,37,6112
POL017042,36,4076
POL022532,42,4076
POL025586,62,8794
POL037937,45,8794
POL001439,35,8794
POL030875,45,73430
POL049694,54,8794
POL039884,47,4076
POL019775,49,34738
POL037960,49,8794
POL027024,44,13051
POL037941,39,8794
POL044792,37,8794
POL018534,39,5410
POL049082,47,3264
POL036143,40,27003
POL047007,47,27003
POL036173,56,17804
POL023993,47,34738
POL001904,39,4076
POL041539,36,34738
POL035009,35,4990
POL019887,39,34791
POL046453,39,8794
POL010846,44,6108
POL021106,40,6108
POL048567,50,8794
POL058100,49,8794
POL002030,57,13051
POL050183,38,8794
POL050012,41,5410
POL000326,37,4076
POL002469,48,4076
POL028151,47,8794
POL011380,39,8794
POL038347,51,8794
POL043753,50,17804
POL008066,39,73430
POL023226,43,73430
POL048511,52,5410
POL030017,40,34738
POL037465,38,8794
POL010047,54,8794
POL002321,49,7788
POL026231,35,8794
POL007314,40,8794
POL038018,58,8794
POL048747,44,8794
POL003326,58,34738
POL022966,52,6108
POL039354,50,4076
POL026754,38,8794
POL019992,45,8794
POL046016,53,17804
POL047829,36,4076
POL025893,37,8794
POL037847,50,8794
POL001618,39,4076
POL050975,44,4076
POL045381,49,8794
POL034644,48,27003
POL034584,41,3264
POL043512,47,4076
POL005839,48,27003
POL010675,49,8794
POL005153,36,8794
POL040783,47,27003
POL033326,67,8794
POL036323,41,8794
POL000840,49,73430
POL024675,35,8794
POL019189,44,4076
POL006132,41,34738
POL022924,39,27003
POL013299,39,8794
POL022171,39,4076
POL027598,50,27003
POL030023,45,4076
POL038707,47,8794
POL042993,40,27003
POL041080,35,21622
POL017535,37,21622
POL023619,40,8794
POL034903,41,16206
POL017227,55,6112
POL047414,44,34738
POL052918,47,7788
POL014191,45,13051
POL019040,40,8794
POL000917,41,27003
POL050083,48,34738
POL055161,37,27003
POL028760,54,16206
POL018555,44,17804
POL027688,50,4076
POL052160,40,4076
POL007219,44,8794
POL023742,39,6112
POL016797,54,17804
POL011625,39,73430
POL017004,40,16206
POL005853,49,34738
POL057040,57,73430
POL020126,47,34738
POL025864,44,21622
POL043743,60,8794
POL008996,45,8794
POL048866,41,3264
POL033524,37,8794
POL030526,47,6112
POL028732,47,27003
POL033434,36,73430
POL022714,59,8794
POL030424,45,17804
POL057194,41,27003
POL017507,50,34738
POL038927,45,4076
POL018656,44,6112
POL007606,45,27003
POL021600,49,5410
POL054065,48,4076
POL020429,37,73430
POL038952,58,8794
POL036814,47,5410
POL014691,57,5410
POL053824,40,8794
POL042010,35,4076
POL041708,41,17804
POL000101,45,7788
POL023117,62,34738
POL017803,51,7788
POL051656,49,34738
POL041730,44,8794
POL000426,44,4076
POL001560,39,4076
POL046242,43,34791
POL044656,55,34738
POL027318,35,4076
POL027127,40,34738
POL053191,47,73430
POL038077,56,4076
POL046265,54,8794
POL015084,61,34738
POL011444,40,5410
POL033083,50,73430
POL056130,47,4990
POL010865,39,34738
POL054031,49,5410
POL031698,35,34791
POL014242,40,13051
POL038764,56,27003
POL055254,54,73430
POL038480,35,34791
POL001641,43,27003
POL021456,40,27003
POL034508,39,34738
POL023983,48,5410
POL047488,37,27003
POL018746,45,5410
POL013412,61,8794
POL035455,37,8794
POL006799,53,73430
POL013175,47,27003
POL049858,49,6112
POL052234,40,27003
POL055652,44,27003
POL017172,40,4076
POL047672,44,8794
POL009367,44,8794
POL045979,49,34738
POL027664,43,13051
POL037444,44,8794
POL002227,48,8794
POL022779,46,7788
POL053241,58,4076
POL046670,36,8794
POL000669,49,8794
POL018889,48,8794
POL010531,43,34738
POL029236,40,27003
POL020462,43,8794
POL042657,44,17804
POL032633,44,27003
POL037634,35,4076
POL035101,38,4076
POL013158,38,34738
POL035165,56,27003
POL049785,68,8794
POL017978,40,5410
POL056084,50,27003
POL006255,48,290
POL044910,54,5410
POL024058,54,4076
POL030352,56,7788
POL022162,37,34738
POL042689,45,8794
POL049982,44,34738
POL001068,58,73430
POL048695,54,27742
POL018484,44,8794
POL048172,52,7788
POL032792,36,4076
POL044034,56,4990
POL052316,37,8794
POL044505,48,7788
POL017555,42,4076
POL027911,39,8794
POL004143,47,5410
POL049760,50,5410
POL055623,37,27003
POL007559,40,34738
POL010282,35,34738
POL007435,36,5410
POL047319,44,8794
POL016866,53,7788
POL058482,54,4076
POL017657,37,27003
POL047744,39,34791
POL019682,36,4076
POL035899,36,73430
POL006334,53,8794
POL052932,40,27003
POL004658,39,27003
POL006884,56,27003
POL018365,54,17804
POL032953,52,34791
POL024833,40,34738
POL025966,60,8794
POL030619,36,8794
POL001651,43,34791
POL014532,39,34738
POL016383,43,34738
POL054560,59,6108
POL030532,49,34738
POL035048,50,27003
POL014527,52,8794
POL051377,49,8794
POL042953,40,8794
POL023863,45,8794
POL058301,45,5410
POL003195,43,8794
POL054008,67,8794
POL044316,47,27003
POL027232,44,8794
POL049707,57,4076
POL032372,36,5410
POL055757,45,7788
POL038384,36,17804
POL055530,41,6112
POL017906,47,34738
POL017261,39,8794
POL039113,40,34791
POL036052,56,34738
POL054704,47,4076
POL006113,36,27742
POL027668,51,4076
POL025828,56,8794
POL050292,55,8794
POL015907,52,27742
POL041593,53,4076
POL045608,35,290
POL058583,43,27003
POL027039,45,27003
POL024987,36,34791
POL040632,36,27003
POL005144,39,8794
POL008017,37,6112
POL033835,46,27003
POL046979,36,8794
POL016850,39,73430
POL047307,36,5410
POL004247,49,27742
POL057218,47,27003
POL034818,54,73430
POL032991,43,8794
POL055830,44,8794
POL020996,45,8794
POL040461,37,35036
POL050533,56,8794
POL044888,39,4076
POL041100,38,34738
POL029144,43,34738
POL023715,48,7788
POL000535,35,8794
POL020357,37,34738
POL042970,39,27003
POL030960,53,27003
POL052343,49,34738
POL032045,35,17804
POL017181,43,8794
POL016115,47,27003
POL034809,43,73430
POL022416,41,8794
POL009642,57,8794
POL034513,50,8794
POL037726,38,34791
POL037657,52,8794
POL037983,36,7788
POL012814,49,27003
POL022697,37,6108
POL051700,52,4076
POL005594,37,8794
POL011272,39,5410
POL057354,53,34738
POL036289,37,4076
POL036455,45,8794
POL038112,40,8794
POL009724,49,34738
POL008971,53,17804
POL020293,60,8794
POL042721,41,5410
POL029430,49,27003
POL019635,37,4076
POL001652,41,8794
POL018664,37,34738
POL053351,47,34738
POL018704,52,8794
POL012858,50,8794
POL012371,43,6108
POL035780,35,8794
POL004098,44,13051
POL014239,43,34738
POL010856,35,7788
POL047678,44,8794
POL016765,45,8794
POL049555,40,6112
POL005586,44,8794
POL021577,52,4990
POL041537,41,27003
POL057800,56,6112
POL017093,42,8794
POL057826,42,8794
POL011957,40,34738
POL049083,44,17804
POL033955,47,8794
POL004052,39,21622
POL030733,45,6108
POL020852,42,35036
POL029311,53,8794
POL052277,50,4076
POL019005,40,8794
POL013464,39,34738
POL058515,51,3264
POL040634,35,34738
POL056060,54,17804
POL018879,53,27003
POL017745,35,6112
POL007307,36,8794
POL003206,36,27003
POL023239,44,17804
POL027932,40,6112
POL047666,41,7788
POL003088,42,17804
POL004498,45,34791
POL015473,43,21622
POL023558,53,27742
POL010773,47,4076
POL041930,57,8794
POL014067,44,7788
POL058167,37,4076
POL029639,48,4076
POL010240,48,5410
POL052746,43,5410
POL039106,39,8794
POL003584,53,34791
POL010410,47,8794
POL009585,43,34738
POL026510,37,27003
POL000412,36,34738
POL039109,45,6112
POL058002,51,4990
POL007615,50,34738
POL008807,42,6108
POL054913,35,8794
POL025885,44,5410
POL036328,37,27003
POL047632,45,8794
POL012372,44,13051
POL010529,40,34738
POL026891,36,27003
POL051549,44,8794
POL033232,47,8794
POL023152,44,34738
POL032189,41,8794
POL023209,47,7788
POL028291,39,34738
POL034914,40,6112
POL039259,47,8794
POL035290,39,4076
POL042469,57,6112
POL045110,40,27003
POL053794,36,8794
POL034626,48,6112
POL055396,40,4990
POL030453,47,8794
POL012033,35,8794
POL040975,35,34791
POL021348,41,21622
POL050683,40,17804
POL032988,43,4076
POL042846,36,27003
POL028925,50,8794
POL041685,39,17804
POL018005,37,27003
POL009390,64,8794
POL057169,36,73430
POL033578,50,27003
POL016038,49,6108
POL011603,52,4990
POL023510,39,34738
POL004673,44,8794
POL037650,35,5410
POL028333,45,34738
POL005412,49,8794
POL024919,48,5410
POL001626,43,8794
POL048400,40,5410
POL037654,35,17804
POL003964,45,8794
POL021082,46,34791
POL008782,58,8794
POL007898,66,8794
POL054210,53,34738
POL051654,37,8794
POL007151,37,4990
POL026588,48,8794
POL018893,37,8794
POL045320,36,5410
POL047006,40,4076
POL031363,54,8794
POL039273,36,4076
POL006061,47,7788
POL022337,53,7788
POL017582,38,34738
POL045404,39,34738
POL036486,42,4076
POL030459,53,34791
POL013149,50,5410
POL044100,39,21622
POL014756,39,6112
POL045358,45,7788
POL038955,35,8794
POL048533,41,8794
POL013587,45,8794
POL055876,45,4076
POL043798,39,27003
POL021563,48,8794
POL039514,41,5410
POL046710,47,27003
POL001611,42,17804
POL053265,44,7788
POL046984,40,7788
POL044009,49,8794
POL036324,41,5410
POL035434,36,7788
POL015040,47,8794
POL038578,42,290
POL005226,57,8794
POL027401,41,34738
POL037239,56,27003
POL031776,35,17804
POL033834,45,290
POL001683,50,4076
POL050372,58,4990
POL011958,62,5410
POL047515,58,8794
POL046308,57,73430
POL024735,36,8794
POL012289,45,8794
POL005574,47,8794
POL021584,37,6112
POL033810,41,17804
POL041741,44,27003
POL018556,54,34738
POL046852,39,290
POL033876,43,5410
POL007822,41,16206
POL051274,54,73430
POL028188,42,4076
POL047277,36,27003
POL053124,48,6108
POL048582,42,7788
POL050760,48,27003
POL003632,53,34738
POL011069,37,8794
POL020721,35,35036
POL005881,39,5410
POL016207,44,34738
POL047541,40,8794
POL014635,50,34738
POL016606,41,5410
POL050603,41,17804
POL023752,37,27003
POL007417,40,27003
POL032391,36,27003
POL036054,48,8794
POL016463,37,5410
POL000518,41,4076
POL009301,51,8794
POL004965,44,21622
POL058189,35,27003
POL023574,49,27003
POL028308,39,17804
POL029261,45,8794
POL049710,47,5410
POL015314,36,27003
POL031793,62,13051
POL049701,37,34791
POL051358,59,13051
POL039204,36,6112
POL042349,45,73430
POL020764,41,4990
POL001084,50,3264
POL006574,38,5410
POL020061,52,27003
POL002240,49,17804
POL035851,45,8794
POL028447,49,4076
POL054461,40,8794
POL013723,48,4076
POL004571,43,5410
POL008908,45,4076
POL048073,45,8794
POL037743,50,73430
POL038825,50,73430
POL044692,58,27003
POL002114,37,27003
POL032411,44,73430
POL025019,40,8794
POL034729,36,34738
POL044370,35,8794
POL042301,35,4076
POL004621,47,34738
POL026535,37,7788
POL045505,53,7788
POL055750,49,8794
POL037207,37,6112
POL005459,55,8794
POL055167,60,7788
POL050596,47,27003
POL046666,37,34738
POL035283,51,13051
POL010475,53,27003
POL016889,47,8794
POL007551,52,8794
POL034541,57,34738
POL015421,37,8794
POL018199,40,73430
POL024336,37,4076
POL014831,37,4076
POL033849,47,27003
POL000704,44,27003
POL002941,39,8794
POL053616,46,290
POL004094,53,8794
POL033257,46,27003
POL047786,44,5410
POL058158,40,8794
POL052732,52,73430
POL056307,39,34738
POL009228,37,17804
POL005717,67,5410
POL014404,47,8794
POL002136,36,34738
POL000035,41,27003
POL052395,43,34738
POL022818,35,27003
POL010912,44,4990
POL024125,36,3264
POL056062,43,17804
POL037137,43,6108
POL008039,35,7788
POL018877,57,34738
POL033906,48,290
POL032651,44,34738
POL006966,54,7788
POL017385,40,4076
POL016761,38,5410
POL027572,39,4076
POL001896,37,34738
POL038858,53,5410
POL011135,49,27003
POL056513,41,27003
POL015688,39,34738
POL013279,47,7788
POL009523,64,34791
POL041835,44,8794
POL046935,43,34738
POL004198,54,5410
POL014998,46,27003
POL038862,53,4076
POL033126,36,8794
POL011248,53,8794
POL033278,49,7788
POL053197,36,27742
POL008677,39,4076
POL009189,49,5410
POL013760,58,65567
POL058439,59,27003
POL042115,36,3264
POL044670,44,73430
POL007495,48,7788
POL013371,44,4990
POL037542,49,17804
POL002300,49,8794
POL012123,43,8794
POL037023,36,27003
POL048566,47,7788
POL052039,52,4076
POL052692,41,65567
POL008268,47,17804
POL034489,50,7788
POL000038,46,5410
POL019017,50,73430
POL003454,44,8794
POL041008,41,27003
POL040891,43,27003
POL032643,47,34791
POL045496,36,4076
POL026009,44,27003
POL006298,41,4076
POL036572,36,34738
POL011790,47,34738
POL019389,39,34738
POL013765,39,4076
POL038740,57,6108
POL046592,39,6112
POL055471,45,17804
POL027235,43,5410
POL047923,36,17804
POL034550,44,5410
POL042639,36,17804
POL013676,39,5410
POL039489,40,34738
POL009675,46,4076
POL043660,54,4076
POL002369,50,21622
POL041699,41,27003
POL021231,36,8794
POL027901,35,27003
POL028963,40,7788
POL006709,51,8794
POL046423,45,17804
POL055124,45,27003
POL023817,57,8794
POL046702,38,8794
POL052584,57,8794
POL048467,37,8794
POL024967,49,8794
POL015890,40,16206
POL057472,47,34791
POL040980,56,21622
POL000177,54,4990
POL010426,47,4076
POL016816,44,5410
POL003633,49,4990
POL030764,36,8794
POL009167,51,34738
POL056480,57,73430
POL008477,35,8794
POL012813,61,27003
POL025679,39,73430
POL008141,53,27003
POL050962,50,8794
POL021732,44,5410
POL034356,39,5410
POL000067,38,27003
POL008585,44,34738
POL015879,40,4076
POL037373,45,3264
POL039186,47,27003
POL050475,54,8794
POL050512,39,21622
POL018035,47,17804
POL024071,37,8794
POL040319,36,16733
POL010632,44,7788
POL050570,39,8794
POL056923,41,34738
POL008515,57,27742
POL035436,35,27003
POL006008,53,8794
POL043589,53,4076
POL040856,47,8794
POL025519,41,8794
POL048246,47,27742
POL026446,37,34791
POL053871,66,8794
POL010003,43,27003
POL030821,48,27003
POL040224,36,16733
POL041303,40,27003
POL007266,37,8794
POL012402,40,8794
POL001345,39,17804
POL054440,53,7788
POL006506,44,73430
POL021103,35,73430
POL026078,54,17804
POL037591,44,73430
POL039467,45,4076
POL046162,57,4990
POL026045,40,8794
POL048373,45,5410
POL014945,43,8794
POL040389,44,73430
POL007784,38,8794
POL018078,51,4990
POL012036,39,6108
POL037007,38,27003
POL042509,47,8794
POL024477,48,27003
POL048711,48,4076
POL057456,45,34791
POL032496,47,7788
POL031137,36,4076
POL005756,44,8794
POL054320,43,6112
POL002056,40,21622
POL023115,42,8794
POL022902,36,4076
POL013276,39,17804
POL040724,43,34738
POL032585,52,8794
POL000628,48,35036
POL042782,41,34738
POL056650,37,7788
POL025025,40,5410
POL041852,41,73430
POL017344,48,27003
POL023746,39,4990
POL006752,44,8794
POL003182,47,5410
POL023796,55,34738
POL006318,51,8794
POL016480,40,27003
POL007156,35,6108
POL021404,47,34738
POL019280,44,27003
POL040076,51,7788
POL011146,40,4990
POL037157,43,34738
POL050344,37,7788
POL042645,46,7788
POL029672,39,4076
POL023882,54,27003
POL047580,53,8794
POL038327,48,4990
POL047711,47,8794
POL006049,49,8794
POL037779,55,4076
POL025879,45,4076
POL032755,52,34738
POL043175,58,8794
POL050386,46,4076
POL043465,42,5410
POL041806,46,5410
POL054996,48,8794
POL033013,43,7788
POL048106,40,8794
POL000675,43,4990
POL016837,54,34791
POL036147,36,4990
POL031220,36,27003
POL010212,37,34791
POL030680,37,6108
POL053178,43,34791
POL026871,57,8794
POL010481,35,17804
POL056653,48,4076
POL033522,44,34791
POL051637,42,27003
POL026895,40,8794
POL039565,44,27003
POL022704,50,34738
POL046597,40,4076
POL001297,37,27003
POL053299,55,8794
POL051760,50,21622
