POLICY_ID,SUBSCRIPTION_LENGTH,REGION_CODE,SEGMENT
POL057438,12.1,C10,A
POL008462,6.2,C8,C2
POL058389,11,C8,B1
POL010729,10.3,C3,B1
POL049051,12.3,C11,B2
POL052073,8.7,C5,C1
POL055597,9.6,C10,A
POL033900,5.4,C7,C1
POL040406,1,C2,B1
POL034343,0.3,C10,A
POL047726,11.7,C8,A
POL044073,0.4,C9,A
POL004165,2.3,C17,A
POL055521,2.3,C8,B2
POL038656,10.1,C11,B2
POL053071,3.5,C2,C1
POL012165,12.1,C14,B1
POL012306,0.5,C8,Utility
POL020110,8.6,C3,A
POL039371,2.8,C13,C2
POL055328,0.6,C8,B2
POL053218,5.6,C2,A
POL025255,0.9,C9,B1
POL041511,11.4,C9,C1
POL009922,12.5,C13,B2
POL026566,9.1,C8,C2
POL010024,1.8,C10,C2
POL024922,2.5,C2,B2
POL050096,2.1,C8,A
POL007808,10.9,C10,C1
POL054982,6,C14,B2
POL057128,5.9,C13,C2
POL028978,10.3,C8,B2
POL036657,12,C2,C1
POL018216,8.3,C14,B2
POL018637,12.3,C14,B2
POL042200,11.6,C7,B2
POL052326,2.2,C8,B2
POL053357,12.4,C5,A
POL034044,7.5,C3,A
POL015191,12.2,C10,C2
POL020776,10.1,C14,B2
POL032739,3.3,C12,B2
POL012032,2.9,C10,A
POL054405,7.2,C8,B2
POL012290,0.7,C7,A
POL043607,8.1,C8,C2
POL020943,11.7,C8,C2
POL019252,11.4,C8,Utility
POL001841,11.1,C2,C2
POL042432,1.4,C13,B2
POL033361,4.9,C2,C2
POL013787,12,C13,B2
POL037238,0.9,C3,Utility
POL054588,1,C13,B2
POL011769,6.5,C3,A
POL020096,1.9,C13,B2
POL001900,11.6,C22,B2
POL007820,5.2,C8,B2
POL042926,0.6,C2,C1
POL048518,1.6,C18,A
POL033532,9.5,C17,C2
POL011700,0.1,C8,C2
POL024814,6,C5,B2
POL001128,7.2,C4,A
POL017070,12.3,C14,A
POL058147,7.5,C8,B2
POL033054,6.5,C5,A
POL055258,11,C8,B1
POL035856,6.1,C8,C2
POL018419,10.5,C8,C2
POL027174,2,C5,A
POL056481,2.5,C5,C2
POL045735,4.2,C4,A
POL021786,10.8,C8,B2
POL000993,8.9,C10,C2
POL011650,3.5,C5,B2
POL010890,10.3,C8,C2
POL045177,3.1,C18,A
POL012170,11.2,C10,B2
POL044806,12,C8,C2
POL007852,7,C8,A
POL021693,0.1,C8,B2
POL000822,11.5,C8,C2
POL041192,1.9,C13,C2
POL017741,0.3,C5,A
POL040898,11.8,C2,B2
POL026036,6.8,C15,C1
POL038824,5,C3,B2
POL046584,0.8,C17,A
POL052135,9.3,C5,B2
POL029461,10.6,C8,B2
POL038009,6.1,C8,C2
POL035116,10.3,C8,B1
POL028383,2.9,C10,B2
POL011535,0.2,C2,A
POL003474,10.6,C5,A
POL030988,2,C5,C2
POL046328,3.5,C3,B1
POL012551,10.4,C7,A
POL036617,0.1,C2,Utility
POL019517,1,C2,C2
POL030609,10.5,C14,B2
POL019545,4.1,C14,C1
POL048485,11.8,C13,C2
POL032192,10.6,C8,B2
POL057925,0.1,C10,A
POL006291,2.6,C10,A
POL005241,8.3,C13,B2
POL047596,6.5,C3,A
POL052264,8.9,C2,B1
POL012303,11.9,C9,B2
POL028219,11.6,C14,A
POL034295,6.6,C2,C1
POL023685,5.4,C8,B2
POL030544,2.8,C10,B2
POL057557,2.9,C8,C2
POL042743,2.8,C10,B2
POL023145,11.2,C8,C2
POL047972,3,C5,C2
POL041759,8.2,C2,B2
POL050343,11.6,C3,C2
POL020683,11.6,C8,B2
POL056551,11.7,C2,B2
POL022405,5.6,C2,C2
POL056921,1.8,C13,C2
POL014984,12.1,C13,B2
POL044750,5.1,C13,B2
POL010459,10.3,C7,B2
POL017042,5.3,C3,B2
POL022532,3.9,C3,A
POL025586,5,C8,A
POL037937,8.8,C8,B2
POL001439,3.5,C8,B2
POL030875,12.2,C10,A
POL049694,0.1,C8,C2
POL039884,10.2,C3,A
POL019775,11.8,C5,C1
POL037960,10.7,C8,B2
POL027024,9.8,C6,A
POL037941,0.9,C8,B2
POL044792,5.6,C8,A
POL018534,5.4,C13,B2
POL049082,10.3,C21,B2
POL036143,5.9,C2,Utility
POL047007,9.3,C2,A
POL036173,2.5,C9,B2
POL023993,1,C5,A
POL001904,11,C3,C2
POL041539,0.9,C5,B2
POL035009,0.8,C1,A
POL019887,2.7,C12,B2
POL046453,1.1,C8,C2
POL010846,6.8,C11,B2
POL021106,0.5,C11,A
POL048567,3.4,C8,B2
POL058100,11.6,C8,C1
POL002030,2.9,C6,A
POL050183,10.2,C8,B2
POL050012,11.7,C13,B2
POL000326,2.3,C3,A
POL002469,5.2,C3,A
POL028151,11.3,C8,C2
POL011380,2.3,C8,B1
POL038347,0.7,C8,C2
POL043753,11.5,C9,C2
POL008066,10.4,C10,C1
POL023226,9.1,C10,B2
POL048511,1.7,C13,C2
POL030017,0.7,C5,B1
POL037465,11.5,C8,B2
POL010047,0.1,C8,C2
POL002321,0.7,C14,B2
POL026231,8.3,C8,C2
POL007314,8.3,C8,B2
POL038018,5.6,C8,C2
POL048747,10.8,C8,B1
POL003326,3.3,C5,A
POL022966,10.4,C11,C2
POL039354,0.4,C3,A
POL026754,8.6,C8,C2
POL019992,12.2,C8,C2
POL046016,12.4,C9,B2
POL047829,0.1,C3,A
POL025893,3.1,C8,C2
POL037847,8.7,C8,A
POL001618,5.9,C3,B2
POL050975,0.1,C3,A
POL045381,7.4,C8,B2
POL034644,9,C2,B1
POL034584,3.1,C21,A
POL043512,9,C3,C2
POL005839,5.1,C2,A
POL010675,12.4,C8,C1
POL005153,10.7,C8,B1
POL040783,0.8,C2,A
POL033326,10.7,C8,C2
POL036323,12.3,C8,A
POL000840,0.8,C10,B2
POL024675,1,C8,B2
POL019189,8.4,C3,A
POL006132,2.7,C5,C2
POL022924,5.5,C2,B2
POL013299,0.7,C8,C2
POL022171,10.3,C3,C2
POL027598,6.3,C2,B2
POL030023,2.7,C3,A
POL038707,10.2,C8,C2
POL042993,1,C2,B2
POL041080,0.2,C4,B1
POL017535,7.7,C4,A
POL023619,10,C8,B2
POL034903,0.7,C16,A
POL017227,8.1,C7,A
POL047414,4.8,C5,B1
POL052918,5.4,C14,B2
POL014191,1.7,C6,C2
POL019040,11.1,C8,C2
POL000917,12,C2,C2
POL050083,2.3,C5,B2
POL055161,2.2,C2,C2
POL028760,5.4,C16,A
POL018555,0.5,C9,B1
POL027688,2.4,C3,A
POL052160,0.4,C3,A
POL007219,0.4,C8,B2
POL023742,5.4,C7,B2
POL016797,0.1,C9,B2
POL011625,11.3,C10,A
POL017004,10.8,C16,C2
POL005853,0.7,C5,A
POL057040,9.5,C10,A
POL020126,0.4,C5,A
POL025864,2.5,C4,B2
POL043743,10.4,C8,B2
POL008996,8.4,C8,B2
POL048866,0.6,C21,C1
POL033524,9.3,C8,B2
POL030526,0.8,C7,B1
POL028732,11,C2,A
POL033434,11.5,C10,C1
POL022714,11.8,C8,B2
POL030424,11.5,C9,B2
POL057194,3.5,C2,C2
POL017507,0.3,C5,A
POL038927,2.7,C3,C2
POL018656,2.1,C7,A
POL007606,11.4,C2,A
POL021600,0.2,C13,B2
POL054065,10.3,C3,C2
POL020429,12.2,C10,B1
POL038952,12.5,C8,B2
POL036814,12.4,C13,B2
POL014691,10.4,C13,B2
POL053824,10.1,C8,B2
POL042010,10.5,C3,B2
POL041708,7.1,C9,A
POL000101,11.4,C14,C1
POL023117,1.5,C5,A
POL017803,5.5,C14,C2
POL051656,5.9,C5,B1
POL041730,10.2,C8,C1
POL000426,9.2,C3,A
POL001560,0,C3,A
POL046242,1.2,C12,B2
POL044656,12.1,C5,B2
POL027318,0.7,C3,A
POL027127,0.3,C5,B2
POL053191,0.1,C10,A
POL038077,5.3,C3,A
POL046265,5.7,C8,C2
POL015084,5.3,C5,A
POL011444,0,C13,B2
POL033083,7.4,C10,A
POL056130,8,C1,A
POL010865,1.5,C5,B2
POL054031,11,C13,C2
POL031698,0.4,C12,B2
POL014242,2.1,C6,C2
POL038764,7.1,C2,C2
POL055254,1.2,C10,A
POL038480,12.1,C12,C2
POL001641,5.2,C2,C1
POL021456,4.2,C2,C2
POL034508,11.8,C5,C1
POL023983,5.1,C13,B2
POL047488,0.2,C2,A
POL018746,10.8,C13,C2
POL013412,3.1,C8,C2
POL035455,10.1,C8,B2
POL006799,5.3,C10,C2
POL013175,11,C2,C2
POL049858,10.8,C7,C2
POL052234,2.4,C2,C1
POL055652,11.5,C2,C2
POL017172,2.2,C3,C1
POL047672,10.7,C8,B2
POL009367,8.7,C8,C2
POL045979,5.4,C5,A
POL027664,7.3,C6,Utility
POL037444,7.9,C8,C1
POL002227,9.8,C8,B1
POL022779,7.7,C14,B2
POL053241,10.9,C3,C2
POL046670,2.8,C8,C2
POL000669,9,C8,A
POL018889,10.9,C8,Utility
POL010531,10.2,C5,B1
POL029236,1.9,C2,B2
POL020462,11.3,C8,C2
POL042657,11.6,C9,B2
POL032633,3,C2,A
POL037634,0.4,C3,C2
POL035101,4.8,C3,A
POL013158,0.3,C5,A
POL035165,12.1,C2,C2
POL049785,11.5,C8,B2
POL017978,1.2,C13,C2
POL056084,11.9,C2,Utility
POL006255,1.9,C15,C2
POL044910,8.4,C13,A
POL024058,0.2,C3,A
POL030352,3.4,C14,B1
POL022162,6.4,C5,B1
POL042689,0.1,C8,B2
POL049982,1.5,C5,A
POL001068,10.6,C10,A
POL048695,10,C19,B2
POL018484,11.4,C8,C2
POL048172,10.3,C14,B2
POL032792,9.1,C3,B2
POL044034,2.4,C1,A
POL052316,12.5,C8,B1
POL044505,1.3,C14,B2
POL017555,12,C3,B2
POL027911,4.6,C8,C2
POL004143,10.3,C13,B2
POL049760,8.1,C13,A
POL055623,1,C2,B2
POL007559,0.8,C5,A
POL010282,0.8,C5,A
POL007435,10.6,C13,B1
POL047319,2.9,C8,C2
POL016866,11.8,C14,B2
POL058482,10.3,C3,B2
POL017657,0.9,C2,Utility
POL047744,5.9,C12,C2
POL019682,2.5,C3,C2
POL035899,4.5,C10,B2
POL006334,1.5,C8,C1
POL052932,0.4,C2,A
POL004658,4.3,C2,C2
POL006884,9.5,C2,C1
POL018365,8.7,C9,A
POL032953,10.7,C12,Utility
POL024833,8.8,C5,A
POL025966,11.5,C8,B2
POL030619,0.8,C8,C2
POL001651,0.8,C12,C2
POL014532,6.3,C5,C2
POL016383,7.1,C5,C2
POL054560,11.5,C11,C1
POL030532,1.1,C5,C2
POL035048,1.1,C2,C2
POL014527,10.4,C8,C2
POL051377,2.8,C8,B2
POL042953,11.5,C8,C2
POL023863,11.4,C8,B2
POL058301,3,C13,A
POL003195,1.7,C8,B1
POL054008,9.2,C8,C2
POL044316,11.2,C2,B2
POL027232,8,C8,B2
POL049707,8.3,C3,A
POL032372,0.8,C13,B2
POL055757,0.3,C14,B2
POL038384,1.1,C9,A
POL055530,4.5,C7,A
POL017906,6.2,C5,A
POL017261,11,C8,B2
POL039113,6,C12,Utility
POL036052,5.5,C5,A
POL054704,0.7,C3,B2
POL006113,4.2,C19,A
POL027668,5.6,C3,A
POL025828,1.2,C8,C2
POL050292,0.3,C8,C2
POL015907,0.3,C19,C2
POL041593,7.1,C3,A
POL045608,2.5,C15,C2
POL058583,3.3,C2,B2
POL027039,0.9,C2,C1
POL024987,2.3,C12,C2
POL040632,8.7,C2,A
POL005144,10.8,C8,B2
POL008017,6.7,C7,C2
POL033835,8.7,C2,B2
POL046979,5.2,C8,C2
POL016850,0.9,C10,B2
POL047307,1,C13,C2
POL004247,5.3,C19,B2
POL057218,2.4,C2,A
POL034818,6.1,C10,B2
POL032991,0.2,C8,C2
POL055830,5.2,C8,C2
POL020996,11.1,C8,C2
POL040461,9.7,C18,A
POL050533,10.1,C8,B2
POL044888,10.5,C3,B2
POL041100,0.9,C5,B2
POL029144,11.3,C5,B1
POL023715,10.2,C14,B2
POL000535,2.1,C8,B2
POL020357,1.2,C5,C2
POL042970,4.4,C2,C2
POL030960,2.4,C2,A
POL052343,0.8,C5,A
POL032045,0.8,C9,B2
POL017181,0.5,C8,B1
POL016115,6.6,C2,B2
POL034809,3,C10,B1
POL022416,3.9,C8,C2
POL009642,5.6,C8,B2
POL034513,11.3,C8,B2
POL037726,9.6,C12,C2
POL037657,0.4,C8,B2
POL037983,1.5,C14,C2
POL012814,0.4,C2,B2
POL022697,0.9,C11,B2
POL051700,10.2,C3,B2
POL005594,0.2,C8,B2
POL011272,10.5,C13,B2
POL057354,8.6,C5,A
POL036289,8.5,C3,C2
POL036455,1.6,C8,C2
POL038112,0.3,C8,C2
POL009724,11,C5,A
POL008971,0.8,C9,B2
POL020293,11.9,C8,C2
POL042721,10.6,C13,C1
POL029430,4.5,C2,B2
POL019635,1.9,C3,A
POL001652,5.2,C8,B2
POL018664,0.9,C5,B2
POL053351,1,C5,A
POL018704,4,C8,C2
POL012858,3.8,C8,A
POL012371,0.7,C11,B2
POL035780,11.8,C8,A
POL004098,1.4,C6,B2
POL014239,0.9,C5,B2
POL010856,5.7,C14,B2
POL047678,3.5,C8,C2
POL016765,0.9,C8,B1
POL049555,10.5,C7,A
POL005586,11,C8,B2
POL021577,3.7,C1,B2
POL041537,10.3,C2,B2
POL057800,10.8,C7,B2
POL017093,4.1,C8,B2
POL057826,7.9,C8,C2
POL011957,0.3,C5,A
POL049083,3.2,C9,A
POL033955,3.6,C8,C2
POL004052,4.1,C4,C1
POL030733,11.9,C11,B2
POL020852,1.8,C18,C1
POL029311,10.6,C8,B2
POL052277,7.2,C3,A
POL019005,12.2,C8,C1
